title,numoverall,series,numinseries,director,writer,airdate,viewers
Emily‡,104,5,7,Kim Manners,Vince Gilligan & John Shiban & Frank Spotnitz,"December 14, 1997 (1997-12-14)",20.94[96]
Kitsunegari,105,5,8,Daniel Sackheim,Vince Gilligan & Tim Minear,"January 4, 1998 (1998-01-04)",19.75[96]
Schizogeny,106,5,9,Ralph Hemecker,Jessica Scott & Mike Wollaeger,"January 11, 1998 (1998-01-11)",21.37[96]
Chinga,107,5,10,Kim Manners,Stephen King & Chris Carter,"February 8, 1998 (1998-02-08)",21.33[96]
Kill Switch,108,5,11,Rob Bowman,William Gibson & Tom Maddox,"February 15, 1998 (1998-02-15)",18.04[96]
Bad Blood,109,5,12,Cliff Bole,Vince Gilligan,"February 22, 1998 (1998-02-22)",19.25[96]
Patient X‡,110,5,13,Kim Manners,Chris Carter & Frank Spotnitz,"March 1, 1998 (1998-03-01)",20.21[96]
The Red and the Black‡,111,5,14,Chris Carter,Chris Carter & Frank Spotnitz,"March 8, 1998 (1998-03-08)",19.98[96]
Travelers,112,5,15,William A. Graham,John Shiban & Frank Spotnitz,"March 29, 1998 (1998-03-29)",15.06[96]
Mind's Eye,113,5,16,Kim Manners,Tim Minear,"April 19, 1998 (1998-04-19)",16.53[96]
All Souls,114,5,17,Allen Coulter,Story by : Billy Brown & Dan AngelTeleplay by : Frank Spotnitz & John Shiban,"April 26, 1998 (1998-04-26)",13.44[96]
The Pine Bluff Variant,115,5,18,Rob Bowman,John Shiban,"May 3, 1998 (1998-05-03)",18.24[96]
Folie à Deux,116,5,19,Kim Manners,Vince Gilligan,"May 10, 1998 (1998-05-10)",17.63[96]
The End‡,117,5,20,R. W. Goodwin,Chris Carter,"May 17, 1998 (1998-05-17)",18.76[96]
The Beginning‡,118,6,1,Kim Manners,Chris Carter,"November 8, 1998 (1998-11-08)",20.34[98]
Drive,119,6,2,Rob Bowman,Vince Gilligan,"November 15, 1998 (1998-11-15)",18.48[99]
Triangle,120,6,3,Chris Carter,Chris Carter,"November 22, 1998 (1998-11-22)",18.20[100]
Dreamland,121,6,4,Kim Manners,Vince Gilligan & John Shiban & Frank Spotnitz,"November 29, 1998 (1998-11-29)",17.48[98]
Dreamland II,122,6,5,Michael Watkins,Vince Gilligan & John Shiban & Frank Spotnitz,"December 6, 1998 (1998-12-06)",17.01[98]
How the Ghosts Stole Christmas,123,6,6,Chris Carter,Chris Carter,"December 13, 1998 (1998-12-13)",17.31[98]
Terms of Endearment,124,6,7,Rob Bowman,David Amann,"January 3, 1999 (1999-01-03)",18.69[98]
The Rain King,125,6,8,Kim Manners,Jeffrey Bell,"January 10, 1999 (1999-01-10)",21.24[98]
S.R. 819‡,126,6,9,Daniel Sackheim,John Shiban,"January 17, 1999 (1999-01-17)",15.65[98]
Tithonus,127,6,10,Michael Watkins,Vince Gilligan,"January 24, 1999 (1999-01-24)",15.83[98]
Two Fathers‡,128,6,11,Kim Manners,Chris Carter & Frank Spotnitz,"February 7, 1999 (1999-02-07)",18.81[98]
One Son‡,129,6,12,Rob Bowman,Chris Carter & Frank Spotnitz,"February 14, 1999 (1999-02-14)",16.57[98]
Agua Mala,130,6,13,Rob Bowman,David Amann,"February 21, 1999 (1999-02-21)",16.91[98]
Monday,131,6,14,Kim Manners,Vince Gilligan & John Shiban,"February 28, 1999 (1999-02-28)",16.74[98]
